,Jahr,Rechtsgrundlagen,Value
221,2006,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
222,2006,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",11854
223,2006,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",19
224,2007,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",3067
225,2007,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,397
226,2007,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
227,2007,"§10 Abs.1 StAG, Aufenthalt in Deutschland",77326
228,2007,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",14072
229,2007,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
230,2007,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
231,2007,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),257
232,2007,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",5
233,2007,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",19
234,2007,"§13 StAG, Ehemalige Deutsche im Ausland lebend",77
235,2007,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",54
236,2007,§15 StAG Bundesbeamte im Ausland (bis 2004),0
237,2007,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
238,2007,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",115
239,2007,"§21 HAuslG, Heimatlose Ausländer",110
240,2007,"§40b StAG, Übergangsregelung für Kinder",48
241,2007,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",524
242,2007,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
243,2007,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
244,2007,"§8 StAG, Niederlassung in Deutschland auf Dauer",6221
245,2007,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
246,2007,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
247,2007,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
248,2007,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
249,2007,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
250,2007,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
251,2007,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
252,2007,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
253,2007,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
254,2007,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",10705
255,2007,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",33
256,2008,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",2864
257,2008,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,277
258,2008,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
259,2008,"§10 Abs.1 StAG, Aufenthalt in Deutschland",66014
260,2008,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",10704
261,2008,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
262,2008,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
263,2008,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),715
264,2008,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",5
265,2008,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",10
266,2008,"§13 StAG, Ehemalige Deutsche im Ausland lebend",89
267,2008,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",38
268,2008,§15 StAG Bundesbeamte im Ausland (bis 2004),0
269,2008,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
270,2008,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",0
271,2008,"§21 HAuslG, Heimatlose Ausländer",85
272,2008,"§40b StAG, Übergangsregelung für Kinder",18
273,2008,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",924
274,2008,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
275,2008,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
276,2008,"§8 StAG, Niederlassung in Deutschland auf Dauer",4453
277,2008,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
278,2008,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
279,2008,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
280,2008,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
281,2008,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
282,2008,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
283,2008,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
284,2008,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
285,2008,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
286,2008,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",8259
287,2008,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",19
288,2009,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",2477
289,2009,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,180
290,2009,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
291,2009,"§10 Abs.1 StAG, Aufenthalt in Deutschland",67720
292,2009,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",10393
293,2009,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
294,2009,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
295,2009,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),1271
296,2009,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",1
297,2009,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",9
298,2009,"§13 StAG, Ehemalige Deutsche im Ausland lebend",118
299,2009,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",52
300,2009,§15 StAG Bundesbeamte im Ausland (bis 2004),0
301,2009,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
302,2009,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",0
303,2009,"§21 HAuslG, Heimatlose Ausländer",61
304,2009,"§40b StAG, Übergangsregelung für Kinder",22
305,2009,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",537
306,2009,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
307,2009,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
308,2009,"§8 StAG, Niederlassung in Deutschland auf Dauer",5597
309,2009,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
310,2009,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
311,2009,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
312,2009,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
313,2009,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
314,2009,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
315,2009,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
316,2009,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
317,2009,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
318,2009,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",7658
319,2009,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",26
320,2010,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",2705
321,2010,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,130
322,2010,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
323,2010,"§10 Abs.1 StAG, Aufenthalt in Deutschland",73671
324,2010,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",10800
325,2010,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
326,2010,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
327,2010,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),1759
328,2010,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",1
329,2010,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",3
330,2010,"§13 StAG, Ehemalige Deutsche im Ausland lebend",108
331,2010,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",82
332,2010,§15 StAG Bundesbeamte im Ausland (bis 2004),0
333,2010,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
334,2010,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",0
335,2010,"§21 HAuslG, Heimatlose Ausländer",56
336,2010,"§40b StAG, Übergangsregelung für Kinder",7
337,2010,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",352
338,2010,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
339,2010,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
340,2010,"§8 StAG, Niederlassung in Deutschland auf Dauer",4642
341,2010,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
342,2010,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
343,2010,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
344,2010,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
