,STAG,Ausgewählte Aufenthaltstitel,Value
210,2015-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",123894
211,2015-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",644982
212,2015-12-31,Duldung,155149
213,2015-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",462355
214,2015-12-31,Unbefristete Niederlassungserlaubnis,2480981
215,2015-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,9453
216,2016-12-31,Antrag auf einen Aufenthaltstitel gestellt,201760
217,2016-12-31,Aufenthaltsgestattung,558045
218,2016-12-31,Aufenthaltsrecht nach FreizügG/EU,4364530
219,2016-12-31,"Befristete AE, besondere Gründe und nationale Visa",131525
220,2016-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",633640
221,2016-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",200655
222,2016-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",147630
223,2016-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",694675
224,2016-12-31,Duldung,154835
225,2016-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",445310
226,2016-12-31,Unbefristete Niederlassungserlaubnis,2497230
227,2016-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,9245
228,2017-12-31,Antrag auf einen Aufenthaltstitel gestellt,242800
229,2017-12-31,Aufenthaltsgestattung,369375
230,2017-12-31,Aufenthaltsrecht nach FreizügG/EU,4796295
231,2017-12-31,"Befristete AE, besondere Gründe und nationale Visa",133740
232,2017-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",922775
233,2017-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",201565
234,2017-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",181575
235,2017-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",754720
236,2017-12-31,Duldung,166735
237,2017-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",353210
238,2017-12-31,Unbefristete Niederlassungserlaubnis,2492080
239,2017-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,9060
240,2018-12-31,Antrag auf einen Aufenthaltstitel gestellt,260560
241,2018-12-31,Aufenthaltsgestattung,297095
242,2018-12-31,Aufenthaltsrecht nach FreizügG/EU,4932520
243,2018-12-31,"Befristete AE, besondere Gründe und nationale Visa",126380
244,2018-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",1052470
245,2018-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",220165
246,2018-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",220390
247,2018-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",800335
248,2018-12-31,Duldung,180670
249,2018-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",342160
250,2018-12-31,Unbefristete Niederlassungserlaubnis,2473925
251,2018-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,8770
