,Jahr,Herkunfts-/Zielländer,Value
840,2006,Äthiopien,1164
841,2006,Österreich,19660
842,2006,Übriges Afrika,7154
843,2006,Übriges Amerika,5324
844,2006,Übriges Asien,9000
845,2006,Übriges Europa,30352
846,2006,Übriges Ozeanien,70
847,2007,Afghanistan,2402
848,2007,Albanien,1796
849,2007,Algerien,2526
850,2007,Andorra,30
851,2007,Angola,736
852,2007,Argentinien,1888
853,2007,Armenien,1190
854,2007,Aserbaidschan,1476
855,2007,Australien,4276
856,2007,Belarus,2948
857,2007,Belgien,4660
858,2007,"Bolivien, Plurinationaler Staat",604
859,2007,Bosnien und Herzegowina,12754
860,2007,Brasilien,12758
861,2007,Bulgarien,41008
862,2007,Chile,1576
863,2007,China,27146
864,2007,Costa Rica,316
865,2007,Cote d'Ivoire,472
866,2007,Dänemark,4084
867,2007,Estland,1350
868,2007,Finnland,4120
869,2007,Frankreich,27552
870,2007,Georgien,3126
871,2007,Ghana,1772
872,2007,Griechenland,16064
873,2007,Honduras,178
874,2007,Indien,18734
875,2007,Indonesien,2636
876,2007,Insgesamt,1149504
877,2007,Irak,9924
878,2007,"Iran, Islamische Republik",5264
879,2007,Irland,2178
880,2007,Island,280
881,2007,Israel,2616
882,2007,Italien,36368
883,2007,Japan,11108
884,2007,Jemen,694
885,2007,Jordanien,1114
886,2007,Kamerun,3146
887,2007,Kanada,5668
888,2007,Kasachstan,3920
889,2007,Kenia,2470
890,2007,Kirgisistan,1742
891,2007,Kolumbien,2670
892,2007,"Kongo, Demokratische Republik",482
893,2007,"Kongo, Republik",358
894,2007,"Korea, Demokratische Volksrepublik",592
895,2007,"Korea, Republik",6892
896,2007,Kosovo,0
897,2007,Kroatien,16836
898,2007,Kuwait,446
899,2007,Lettland,3372
900,2007,Libanon,4480
901,2007,Libyen,1112
902,2007,Litauen,7802
903,2007,Luxemburg,5042
904,2007,Malta,168
905,2007,Marokko,6358
906,2007,Mexiko,5020
907,2007,Montenegro (ab 03.06.2006),1246
908,2007,Namibia,156
909,2007,Neuseeland,924
910,2007,Nicaragua,120
911,2007,Niederlande,22190
912,2007,Niger,110
913,2007,Nigeria,3298
914,2007,Nordmazedonien,4614
915,2007,Norwegen,1758
916,2007,Pakistan,3440
917,2007,Paraguay,428
918,2007,Peru,1856
919,2007,Philippinen,2692
920,2007,Polen,279934
921,2007,Portugal,10750
922,2007,Ruanda,88
923,2007,Rumänien,85798
924,2007,Russische Föderation,29920
925,2007,Saudi-Arabien,1266
926,2007,Schweden,5076
927,2007,Schweiz,8850
928,2007,Senegal,420
929,2007,Serbien,0
930,2007,Singapur,1136
931,2007,Slowakei,18868
932,2007,Slowenien,2402
933,2007,Somalia,280
934,2007,Spanien,17142
