Stichtag,Bundesland,Geschlecht,Ländergruppierungen_Code,Ländergruppierungen_Label,Anzahl,Ausländer
2024-12-31,Bremen,männlich,AFRIKASUED,Südafrika,130,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,AFRIKAZENTR,Zentralafrika,65,Ausländer
2024-12-31,Hessen,weiblich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,2890,Ausländer
2024-12-31,Berlin,weiblich,AFRIKA,Afrika,20825,Ausländer
2024-12-31,Berlin,weiblich,EUROPA-EWG-06,EWG-6 (bis 31.12.1972),31280,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,DRITT-EG-09,Drittstaaten zu EG-9 (bis 31.12.1980),82475,Ausländer
2024-12-31,Hessen,weiblich,DRITT-EWG-06,Drittstaaten zu EWG-6 (bis 31.12.1972),606535,Ausländer
2024-12-31,Hamburg,männlich,ASIEN,Asien,59860,Ausländer
2024-12-31,Bremen,weiblich,,Insgesamt,77415,Ausländer
2024-12-31,Thüringen,weiblich,AUSTRALIEN,Australien und Ozeanien,45,Ausländer
2024-12-31,Berlin,weiblich,EUROPA-EU-15,EU-15 (bis 30.04.2004),71000,Ausländer
2024-12-31,Brandenburg,weiblich,ASIENSUED2,Süd- und Südostasien,7125,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,LDR-GASTARB,Gastarbeiterländer,31460,Ausländer
2024-12-31,Hessen,männlich,ASIENSUED2,Süd- und Südostasien,39585,Ausländer
2024-12-31,Bayern,weiblich,EUROPA-EU-27-1,EU-27 (seit 01.02.2020),470875,Ausländer
2024-12-31,Niedersachsen,weiblich,AFRIKAZENTR,Zentralafrika,3360,Ausländer
2024-12-31,Bayern,weiblich,EUROPA-EG-09,EG-9 (bis 31.12.1980),69520,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,AMERIKAMIT2,Mittelamerika und Karibik,1285,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,DRITT-EU-15,Drittstaaten zu EU-15 (bis 30.04.2004),251810,Ausländer
2024-12-31,Hamburg,männlich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),164100,Ausländer
2024-12-31,Bremen,weiblich,LDR-GASTARB,Gastarbeiterländer,21970,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),1293995,Ausländer
2024-12-31,Baden-Württemberg,männlich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),842470,Ausländer
2024-12-31,Berlin,männlich,DRITT-EWG-06,Drittstaaten zu EWG-6 (bis 31.12.1972),477235,Ausländer
2024-12-31,Bremen,weiblich,AUSTRALIEN,Australien und Ozeanien,75,Ausländer
2024-12-31,Brandenburg,männlich,AFRIKANORD,Nordafrika,1800,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,EUROPA-EU-27,EU-27 (bis 30.06.2013),26480,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,DRITT-EG-12,Drittstaaten zu EG-12 (bis 31.12.1994),100795,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,AFRIKAZENTR,Zentralafrika,2000,Ausländer
2024-12-31,Bremen,weiblich,AMERIKA,Amerika,1940,Ausländer
2024-12-31,Bayern,weiblich,EUROPA-EU-25,EU-25 (bis 31.12.2006),290835,Ausländer
2024-12-31,Thüringen,männlich,AMERIKA,Amerika,1445,Ausländer
2024-12-31,Hamburg,weiblich,EUROPA-EG-09,EG-9 (bis 31.12.1980),8595,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,ASIENSUED2,Süd- und Südostasien,62100,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,AFRIKA,Afrika,2165,Ausländer
2024-12-31,Thüringen,männlich,ASIENOST2,Ost- und Zentralasien,10735,Ausländer
2024-12-31,Brandenburg,weiblich,EUROPA-EU-28,EU-28 (bis 31.01.2020),27480,Ausländer
2024-12-31,Saarland,männlich,EUROPA-EG-12,EG-12 (bis 31.12.1994),18375,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,AMERIKANORD,Nordamerika,8445,Ausländer
2024-12-31,Niedersachsen,männlich,EUROPA-EU-15,EU-15 (bis 30.04.2004),68830,Ausländer
2024-12-31,Thüringen,weiblich,ASIENOST2,Ost- und Zentralasien,6150,Ausländer
2024-12-31,Bremen,männlich,DRITT-EG-09,Drittstaaten zu EG-9 (bis 31.12.1980),81175,Ausländer
2024-12-31,Sachsen,männlich,AFRIKAWEST,Westafrika,1515,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,AFRIKAZENTR,Zentralafrika,495,Ausländer
2024-12-31,Saarland,männlich,AMERIKASUD,Südamerika,285,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,EUROPA-EU-28,EU-28 (bis 31.01.2020),27365,Ausländer
2024-12-31,Brandenburg,männlich,DRITT-EG-10,Drittstaaten zu EG-10 (bis 31.12.1985),108420,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,AFRIKASUED,Südafrika,3190,Ausländer
2024-12-31,Niedersachsen,weiblich,ASIEN,Asien,126215,Ausländer
2024-12-31,Thüringen,männlich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,290,Ausländer
2024-12-31,Brandenburg,weiblich,EUROPA-EU-27,EU-27 (bis 30.06.2013),26975,Ausländer
2024-12-31,Niedersachsen,weiblich,,Insgesamt,517480,Ausländer
2024-12-31,Sachsen,weiblich,AMERIKANORD,Nordamerika,1335,Ausländer
